niche_id,niche,check_signer,public_price_incumbents_count,public_price_urls,gatekeeper_found,gatekeeper_evidence_url,top4_share,concentration_source_url,fragmentation_score,notes
45,Wildlife removal & nuisance animal control,owner-operator (NWCO owner),4,https://www.g2.com/products/nwcopro-wildlife-control-software/pricing; https://tooleduppro.com/guides/gorilladesk-pricing/; https://myquoteiq.com/top-10-wildlife-removal-field-service-software-in-2026/; https://www.deelo.ai/blog/field-service-software-cost-2026,no (NWCOA is a trade association; no software mandate seen),https://www.nwcoa.com/,"unverified (pest control 'highly fragmented, thousands of local operators')",https://www.briostack.com/blog/pest-control-industry-statistics,5,"Concentration statement is for pest control (NAICS 561710) as a whole, not wildlife-only; state licensing of NWCOs exists (e.g. WDFW) but does not dictate software. 1+1+1+1+1."
62,Locksmiths,owner-operator (median shop 1-3 employees),2,https://www.workiz.com/pricing-plans/; https://myquoteiq.com/top-10-locksmith-field-service-software-in-2026/,no (ALOA is a trade association; no software mandate seen),https://www.ibisworld.com/united-states/industry/locksmiths/4833/,no company >5%; ten largest chains <8% of revenue,https://www.ibisworld.com/united-states/industry/locksmiths/4833/,4,"FieldPulse and TEN4 prices not public (custom quote / not in snippet), so only 2 public-price incumbents. IBISWorld figures surfaced via https://www.thekeybot.com/research/state-of-locksmith-industry-2026 in the same result set. 1+1+0+1+1."
71,Bookkeeping practices,owner-operator (firm owner; 2-30 staff typical),6,https://financial-cents.com/pricing/; https://curatesuite.com/accounting/tools/keeper; https://financial-cents.com/financial-cents-vs-karbon/; https://financial-cents.com/financial-cents-vs-canopy/; https://jetpackworkflow.com/pricing/; https://getuku.com/pricing/,no (QuickBooks/Xero ecosystems but no body dictating practice-management software),unverified,"unverified (IBISWorld: 'moderate market share concentration', Intuit largest)",https://www.ibisworld.com/united-states/industry/payroll-bookkeeping-services/1397/,4,"Concentration point withheld: current IBISWorld statement is 'moderate', though a 2016 excerpt says low concentration with ~85% sole proprietors/partnerships (https://pdfcoffee.com/payroll-amp-bookkeeping-services-in-the-us-industry-report-from-ibis-world-pdf-free.html). 1+1+1+1+0."
78,Mortgage brokers,owner-operator (broker-owner / branch manager),5,https://bntouch.com/team-mortgage-crm/; https://setshape.com/blog/best-mortgage-crm-for-loan-officers; https://bntouch.com/mortgage-blog/mortgage-crm-pricing-comparison-2026/; https://www.saasworthy.com/product/lendingpad/pricing; https://setshape.com/blog/top-loan-origination-systems,no (AIME partners with ARIVE/Lender Price as member benefits; wholesale lenders run their own portals but do not dictate the broker's LOS/CRM),https://www.arive.com/arive-faq,no company >5% (IBISWorld Online Mortgage Brokers segment),https://www.ibisworld.com/united-states/market-research-reports/online-mortgage-brokers-industry/,5,Concentration evidence is for the online-broker segment only; brick-and-mortar broker concentration not found. ARIVE was AIME-members-only at launch (partial channel influence). 1+1+1+1+1.
85,Auto glass & windshield replacement,owner-operator (shop owner; 1-10 employees typical),2,https://glassbiller.com/pricing/; https://myquoteiq.com/top-8-softwares-for-auto-glass-repair-businesses-in-2026/,"yes (Safelite Solutions TPA administers glass claims for 180+ insurers incl. 19 of top 30 P&C, ~9,000 network shops; EDI billing to TPAs runs through vendor software)",https://www.safelite.com/about-safelite/safelite-autoglass-companies,"Safelite ~1/3 of US market (KMR est.); industry 'highly fragmented, ~20,000 competitors'",https://glassbytes.com/2019/08/analysis-sizing-up-a-shifting-market-with-safelites-latest-acquisition/,3,"Gatekeeper point withheld: insurer TPAs (Safelite Solutions, Lynx, Harmon, Gerber) set billing rails (https://www.deltakits.com/wise-crack/173-insurance-billing-101-getting-set-up-to-bill-insurance-companies-for-windshield-repair/); IGA antitrust complaint (https://www.autobodynews.com/industry-press-releases/independent-auto-glass-shops-concerned-about-safelite-s-growing-influence). Fragmented statement from https://www.researchandmarkets.com/report/automotive-glass-replacement. 1+1+0+0+1."
93,Moving companies,owner-operator (avg 6.2 employees per business),6,https://www.capterra.com/p/154185/MoveitPro/; https://movegistics.com/pricing/; https://www.chariotmove.com/pricing; https://moverstech.com/plans/; https://www.moverbase.com/pricing/; https://movegistics.com/top-5-moving-company-software-compared-2026/,"no (van lines constrain their agents' tariff/BOL tooling, but most movers are independent; no mandate seen)",https://servicebusinessacademy.org/what-software-do-most-moving-companies-use/,top 50 companies ~40% (First Research) / <30% (other source),https://firstresearch.com/industry-research/Moving-Services.html,5,Second concentration source: https://servicebusinessacademy.org/what-software-do-most-moving-companies-use/. Supermove has no public price. 1+1+1+1+1.
101,Motorcycle & powersports dealers,dealer principal (franchised dealership owner),3,https://everlogic.com/price/; https://www.capterra.com/p/153782/Blackpurl/; https://www.softwaresuggest.com/dx1,"partial (OEMs certify DMS/website providers, e.g. 'H-D Certified Provider'; dealer standards cover facilities/techs/parts; no single mandated DMS found)",https://www.dx1app.com/Website/H-D-Certified-Provider,no company >5% (IBISWorld Motorcycle Sales & Repair),https://www.ibisworld.com/united-states/industry/motorcycle-sales-repair/1008/,4,Gatekeeper point withheld conservatively: franchised dealers operate under OEM agreements and OEM-certified integrations (Blackpurl H-D page https://blackpurl.com/dms-for-harley-davidson-dealerships/). Blackpurl/DX1 prices are third-party. 1+1+1+0+1.
108,Dry cleaners,owner-operator (plant/store owner),4,https://www.capterra.com/p/133390/CleanCloud/; https://www.softwareadvice.com/dry-cleaning/smrt-systems-profile/; https://darkpos.com/pricing; https://geelus.com/low-cost-pos-for-dry-cleaning-the-most-affordable-solution-in-the-usa/,no (no franchisor/association software mandate seen),unverified,unverified (US statement not in snippet; UK report 'low market share concentration'),https://www.ibisworld.com/united-states/industry/dry-cleaners/1730/,4,"27,649 businesses on $9.6bn implies fragmentation but no explicit US concentration statement surfaced; point withheld. 1+1+1+1+0."
115,Liquor stores,owner-operator (independent package store owner),4,https://bottlepos.com/; https://koronapos.com/blog/best-pos-liquor-store/; https://nrsplus.com/small-business/pos-system-for-liquor-stores/; https://mpowerbeverage.com/pricing/,"no software gatekeeper (17 control states regulate distribution; 7 states have no private liquor stores at all, shrinking the addressable niche)",https://koronapos.com/blog/what-are-alcohol-control-states/,"unverified (only online segment: 'low market share concentration', Total Wine largest)",https://www.ibisworld.com/united-states/number-of-businesses/online-beer-wine-liquor-sales/5087/,4,Brick-and-mortar concentration statement not found; point withheld. mPower price includes upfront hardware/license. 1+1+1+1+0.
122,Cemeteries & crematories,"mixed (family owner, municipal/parish board, or SCI corporate); not reliably owner-operator",2,https://www.cemify.com/learn/pricing; https://cemeterybase.com/blog/best-cemetery-software-compared-2026,no (no association/franchisor mandate seen),unverified,SCI ~28.8% of cemetery services revenue; another source: top five ~18-22%,https://www.ibisworld.com/us/company/service-corporation-international/9111/,3,Owner-operator point withheld (many buyers are municipal/religious boards with procurement). Sources conflict on top-5 share (https://dataintelo.com/report/cemetery-service-market) but both describe a fragmented industry. 0+1+0+1+1.
129,Tattoo studios,owner-operator (owner tattoos; avg 1.8 employees),3,https://www.guideflow.com/blog/tattoo-shop-software; https://tattoopro.io/pricing; https://twizzlo.com/articles/tattoo-shop-management-software/,no,unverified,no company >5% (IBISWorld Tattoo Artists),https://www.ibisworld.com/united-states/industry/tattoo-artists/4404/,5,Porter has plans but no public figure in results. 1+1+1+1+1.
