id,niche,naics,sector,why_boring,boring_score,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,n_tools_search_verified,n_tools_candidate_unverified,n_tools_public_price_url,fragmentation_score,max_headcount_bonus,provisional_evidence_score,ad_longevity_score,research_status,notes
1,Septic system installers,238910,23,Digging and permitting tanks; county health-dept permits and as-built drawings,3,"38,839 establishments (38,433 businesses); septic installers are a subset of NAICS 238910 Site Preparation Contractors",2020,https://naicslist.com/naics/238910,unverified,unverified,7,0,2,2,0,4,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Alt counts: 30,629 verified active companies (https://siccode.com/naics-code/238910/site-preparation-contractors). Adjacent IBISWorld Septic Drain & Sewer Cleaning Services: 7,338 businesses 2024 (https://www.ibisworld.com/industry-statistics/number-of-businesses/septic-drain-sewer-cleaning-services-united-states/) - pumping/service not installation. No installer-only count found."
2,Water well drilling contractors,237110,23,"State well logs, driller licensing, pump service call-backs",3,"7,414 companies (entire NAICS 237110 Water and Sewer Line and Related Structures Construction; well drilling is a subset)",unverified,https://siccode.com/naics-code/237110/water-sewer-line-structures-construction,unverified,unverified,4,0,1,2,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"DrillerDB directory claims 12,000+ licensed water well drilling contractors, pump installers and service teams nationwide (https://drillerdb.com/find-drillers) - vendor claim, not census. NGWA membership count not found in snippets."
3,Residential roofing contractors,238160,23,"Storm-chasing estimates, insurance supplements, crew scheduling",3,"108,598 businesses (IBISWorld Roofing Contractors in the US)",2026,https://www.ibisworld.com/united-states/number-of-businesses/roofing-contractors/198,unverified,unverified,6,0,1,5,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Alt: 36,365 verified active companies NAICS 238160 (https://siccode.com/naics-code/238160/roofing-contractors). IBISWorld notes +3.4%/yr 2021-2026."
4,Fence contractors,238990,23,"Linear-foot quoting, HOA/permit paperwork, install crews",3,"315,213 businesses (IBISWorld Fence Construction in the US)",2026,https://www.ibisworld.com/united-states/number-of-businesses/fence-construction/2022,unverified,unverified,3,1,2,2,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),IBISWorld count includes non-employer/sole-proprietor firms; CAGR 1.0% 2021-2026 (https://www.ibisworld.com/industry-statistics/number-of-businesses/fence-construction-united-states/).
5,Garage door installers & repair,238290,23,"Service calls, spring/opener parts, warranty paperwork",3,299 businesses (IBISWorld Garage Door Installation in the US) - IBISWorld definition appears narrow,2025,https://www.ibisworld.com/industry-statistics/number-of-businesses/garage-door-installation-united-states/,unverified,unverified,7,0,1,4,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),IBISWorld says industry has high market share concentration; largest business Sanwa Holdings Corporation (https://www.ibisworld.com/united-states/industry/garage-door-installation/4855/). The 299 figure likely excludes the long tail of local repair shops; treat with caution. No NAICS 238290 census count surfaced.
6,Insulation & spray foam contractors,238310,23,"R-value quoting, utility rebate forms, energy-code compliance",3,"19,339 businesses (NAICS 238310 Drywall and Insulation Contractors, Census)",2020,https://naicslist.com/naics/238310,unverified,unverified,4,0,1,2,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Alt: 10,475 verified business locations (https://siccode.com/naics-code/238310/drywall-insulation-contractors). NAICS 238310 mixes drywall and insulation; no insulation-only count found."
7,Gutter installation & cleaning contractors,238170,23,"Seasonal route work, linear-foot quotes, ladder crews",3,"4,929 businesses (IBISWorld Gutter Services in the US)",2025,https://www.ibisworld.com/industry-statistics/number-of-businesses/gutter-services-united-states/,unverified,unverified,4,0,2,2,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld CAGR 3.9% 2020-2025; 4,591 enterprises in 2023 (https://www.ibisworld.com/united-states/industry/gutter-services/6321/). Many gutter installers are classified under roofing/siding so true count is likely higher."
8,Concrete flatwork & driveway contractors,238110,23,"Yardage quoting, pour scheduling around weather, permits",3,"93,960 businesses (IBISWorld Concrete Contractors in the US)",2026,https://www.ibisworld.com/united-states/number-of-businesses/concrete-contractors/200/,unverified,unverified,3,0,2,3,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Alt: 15,371 verified active companies NAICS 238110 (https://siccode.com/naics-code/238110/poured-concrete-foundation-structure-contractors). IBISWorld CAGR 1.7% 2021-2026."
9,Residential painting contractors,238320,23,"Square-foot estimating, crew scheduling, lead-paint (RRP) paperwork",3,"219,542 businesses (IBISWorld Painting & Wall Covering Contractors in the US)",2026,https://www.ibisworld.com/united-states/number-of-businesses/painters/187/,unverified,unverified,4,0,3,4,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Alt: 37,113 businesses Census 2020 (https://naicslist.com/naics/238320); 30,209 verified active (https://siccode.com/naics-code/238320/painting-wall-covering-contractors). IBISWorld count declining -0.7%/yr."
10,Excavation & grading contractors,238910,23,"811 locates, equipment hours, dirt hauling tickets",3,"235,812 businesses (IBISWorld Excavation Contractors in the US)",2026,https://www.ibisworld.com/united-states/number-of-businesses/excavation-contractors/206/,unverified,unverified,3,2,1,2,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Shares NAICS 238910 with septic installers; Census 2020 count for 238910 is 38,839 establishments (https://naicslist.com/naics/238910). IBISWorld figure includes nonemployers."
