niche_id,tool,domain,meta_lookup_url,meta_active_ads,meta_ads_60d,meta_ads_120d,meta_platforms,meta_cta,google_lookup_url,google_advertiser_page_url,google_ad_count,google_formats,google_overlap_90d_pass,linkedin_lookup_url,linkedin_present,linkedin_date_ranges,headcount_bonus,headcount_bonus_evidence_url,direct_response_cta,verified_score,pending_signals,notes
55,HoodOps,gethoodops.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=HoodOps&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=gethoodops.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=HoodOps,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
55,HoodClean Pro,hoodcleanpro.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=HoodClean%20Pro&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=hoodcleanpro.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=HoodClean%20Pro,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
55,ServiceTrade,servicetrade.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=ServiceTrade&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=servicetrade.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=ServiceTrade,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
55,Smart Service (My Service Depot),smartservice.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Smart%20Service%20%28My%20Service%20Depot%29&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=smartservice.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Smart%20Service%20%28My%20Service%20Depot%29,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
55,QuoteIQ,myquoteiq.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=QuoteIQ&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=myquoteiq.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=QuoteIQ,unverified (host blocked),unverified (host blocked),2,https://bootstrappers.com/mike-vida-quoteiq/,unverified (host blocked),2,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit. Headcount bonus: result shows <50 employees or bootstrapped.
55,Scheduling Manager (Thoughtful Systems),thoughtfulsystems.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Scheduling%20Manager%20%28Thoughtful%20Systems%29&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=thoughtfulsystems.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Scheduling%20Manager%20%28Thoughtful%20Systems%29,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
55,Service Genius,service-genius.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Service%20Genius&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=service-genius.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Service%20Genius,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
55,eHoodCleaner,ehoodcleaner.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=eHoodCleaner&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=ehoodcleaner.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=eHoodCleaner,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
64,ReporterBase RB9 (OMTI),omti.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=ReporterBase%20RB9%20%28OMTI%29&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=omti.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=ReporterBase%20RB9%20%28OMTI%29,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
64,Acclaim Solaria (Acclaim Legal Solutions),acclaimlegal.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=Acclaim%20Solaria%20%28Acclaim%20Legal%20Solutions%29&search_type=keyword_unordered&media_type=all,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://adstransparency.google.com/?region=US&domain=acclaimlegal.com,unverified (host blocked),unverified (host blocked),unverified (host blocked),unverified (host blocked),https://www.linkedin.com/ad-library/search?keyword=Acclaim%20Solaria%20%28Acclaim%20Legal%20Solutions%29,unverified (host blocked),unverified (host blocked),0,n/a,unverified (host blocked),0,"Meta +3, Google +3, LinkedIn +1, CTA +1 pending audit",Ad libraries unreachable from this environment (egress policy); counts pending local audit.
