id,niche,naics,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,notes
56,Air duct & dryer vent cleaning,561790,"16,597 establishments",2020,https://www.insurancexdate.com/naics/561790,unverified,unverified,"NAICS 561790 (Other Services to Buildings and Dwellings) is broader than duct/dryer-vent cleaning (also chimney, gutter, pool, exterior cleaning). Another source in the same result set gives 2,851 active companies (attribution uncertain). No Census employment-size split surfaced."
65,Process servers,541199,"3,208 companies",unverified,https://www.insurancexdate.com/naics/541199,unverified,unverified,"NAICS 541199 (All Other Legal Services) also covers notaries, paralegals and patent agents; Veridion count of 94,565 in the same result set is a broader database. Zippia result reports 8,973 process servers employed in the US (https://www.zippia.com/process-server-jobs/best-companies-for-process-servers/); NAPPS has 2,000+ members (https://napps.org/inside_about.aspx)."
74,Land surveyors,541370,"6,191 active companies",unverified,https://siccode.com/naics-code/541370/surveying-mapping,unverified,unverified,"siccode figure cites Census NAICS 2022 data, 54,324 employees. IBISWorld counts 17,353 Surveying & Mapping Services businesses in 2024 (https://www.ibisworld.com/industry-statistics/number-of-businesses/surveying-mapping-services-united-states/). IBISWorld: firms under $1M revenue are over 70% of the industry (https://www.ibisworld.com/united-states/industry/surveying-mapping-services/1407/)."
81,Towing companies,488410,"10,119 establishments (9,860 businesses)",2020,https://www.insurancexdate.com/naics/488410,unverified,unverified,"siccode reports 14,156 active companies / 65,318 employees (https://siccode.com/naics-code/488410/motor-vehicle-towing). IBISWorld reports 39,745 automobile towing businesses in 2026 (https://www.ibisworld.com/united-states/industry/automobile-towing/1206/)."
88,Car washes,811192,"19,463 establishments (15,675 firms)",unverified,https://verticaliq.com/product/car-washes/,unverified,unverified,"Vertical IQ result (dated Aug 2026 in summary): 187,600 workers, $16.3B revenue. mmcginvest result cites ~70,000 wash locations including non-NAICS sites (https://www.mmcginvest.com/post/the-us-car-wash-industry-in-2026-the-gold-rush-meets-its-ceiling)."
96,Limo & black car operators,485320,"6,165 active companies",unverified,https://siccode.com/naics-code/485320/limousine-service,unverified,unverified,"siccode: 37,281 employees. IBISWorld Limousine & Town Car Services counts 189,339 businesses in 2025, a much broader definition including owner-drivers (https://www.ibisworld.com/united-states/number-of-businesses/limousine-town-car-services/5622/)."
104,Construction equipment rental yards,532412,937 active companies,unverified,https://siccode.com/naics-code/532412/construction-mining-forestry-machinery-equipment-rental-leasing,unverified,unverified,"siccode: 60,383 employees; count looks low versus ARA membership and likely reflects the verified-active subset only. Colliers/snakvc results: about 45% of the equipment rental market remains with local and independent rental companies (https://knowledge-leader.colliers.com/vytas-norusis/the-inside-scoop-on-outdoor-storage-the-evolution-of-the-equipment-rental-market/)."
111,Florists,453110,"37,294 businesses",2026,https://www.ibisworld.com/united-states/industry/florists/1096/,unverified,unverified,"Hana POS blog puts standalone retail flower shops at about 14,000 excluding supermarket floral departments and online-only sellers (https://www.hanafloristpos.com/blog/flower-shop-statistics/). IBISWorld describes the industry as in the declining stage of its life cycle."
118,Caterers,722320,"13,263 businesses",2025,https://www.ibisworld.com/industry-statistics/number-of-businesses/caterers-united-states/,unverified,unverified,"siccode: 12,010 active companies, 161,416 employees (https://siccode.com/naics-code/722320/caterers). A third figure of 12,544 businesses / 12,800 establishments appeared in the result summary without clear attribution."
125,Dog training businesses,812910,"32,943 active companies (all pet care, NAICS 812910)",unverified,https://siccode.com/naics-code/812910/pet-care,unverified,unverified,"NAICS 812910 covers boarding, grooming, sitting and training; no training-only count surfaced. 113,907 employees per siccode. Franchises: Sit Means Sit 120+ locations (https://1851franchise.com/sit-means-sit-franchise-costs-fees-profit-and-data-2730404), Dog Training Elite 375+ markets, Bark Busters 300+ franchises (market report result)."
132,Dental practices (independent),621210,"135,665 dental practice establishments",2023,https://isedate.com/post/dental-practice-ownership-vs-dso-statistics-2026-2197,unverified,unverified,"Attribution of the 135,665 figure among the result set (isedate / dentistemaillist) is uncertain. siccode lists 226,938 active companies under NAICS 621210 which likely includes individual practitioners (https://siccode.com/naics-code/621210/offices-dentists). ADA HPI: DSO affiliation 16.1% of dentists in 2024; solo practice about 50% of dentists, down from 67% in 2005 (https://adanews.ada.org/new-dentist/2024/web-exclusives/practice-modality-by-the-numbers/)."
140,Durable medical equipment suppliers,446199,"more than 6,000 unique HME suppliers",2025,https://www.sec.gov/Archives/edgar/data/1725255/000162828026011213/ahco-20251231.htm,unverified,unverified,"AdaptHealth 10-K FY2025 language: HME industry highly fragmented with more than 6,000 unique suppliers. NAICS 456199 (successor to 446199) shows 9,684 companies (https://samsearch.co/naics-ai-lookup/456199). Historical: 113,154 DMEPOS suppliers / 65,984 billing numbers in March 2008 (https://www.govinfo.gov/link/fr/75/52633)."
148,Cosmetology & barber schools,611511,"1,644 active companies",unverified,https://siccode.com/naics-code/611511/cosmetology-barber-schools,unverified,unverified,"siccode: 17,496 employees. Paul Mitchell Schools network alone is 90+ schools (https://www.salonexam.com/schools/paul-mitchell-schools); Empire and Aveda are the other national chains. NACCAS is the Dept of Education-recognized accreditor."
155,Hunting & fishing outfitters and guides,713990,"19,765 active companies (all of NAICS 713990)",unverified,https://siccode.com/naics-code/713990/all-other-amusement-and-recreation-industries-2,unverified,unverified,"NAICS 713990 is a catch-all (guides, outfitters, amusement rides, mini golf, billiards); no guide/outfitter-only count surfaced. Outfitters are state-licensed and federal-land permitted (CRS R46380 https://www.congress.gov/crs-product/R46380). Hunting and trapping employed 17,278 in 2021 per a result (https://www.gohunt.com/browse/journal/the-life/how-are-hunting-guides-and-outfitters-governed)."
